,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9092333155845304874,-5867424949902842953,8920226233198909725,-4748027149000767298,8267509427016592713,6.206342468637502e+18
-9090514312860140897,-2766592729910903198,1061238072586805321,9217155070834564627,7459726589306441015,-4.186591400427142e+18
-9089854794058353436,-6644942243927487010,-1556169727291354289,4463025528374352465,-7331393944609614247,8.926889915100215e+18
-9086955082453789880,-4483059513836093676,-3269885695260066314,4563006651994272837,6873454157736399518,4.774970687540378e+18
-9083294960368598209,-7108012586837980940,-1762456938647577126,8028897172674067530,-8512859527034085078,5.761988486867613e+18
-9081753261356157170,-6324550271415246022,-908505899495735224,-7766518409111702133,5817939718364925129,-5.808672937983623e+18
-9080873096647717414,-9103776596534246502,4546206336477094824,-3285620956704836473,2051327203770554158,8.057379878708189e+18
-9076501258717815738,4702453495211185350,1507299850679912107,1485652648052127324,-1165347641456093580,-9.041546321432974e+18
-9073210245497295284,-7082978776831463151,2586379029487881843,-6566328419164841526,-6752460077509522132,-7.564053678326008e+18
-9071883412530082330,7421641564256558176,2121807307434667949,-3460883803089049921,6040574489860277999,-6.15798481206516e+18
-9064100704535292718,2572662123697831414,6716649347760033969,-6742146164569753679,2858969450431709251,-8.259953995965151e+18
-9056114023474725450,-266262937631881148,826748584447376099,-7638840925036528150,5328558001212551235,-8.047634385511626e+18
-9055044275358686874,6152652267138213180,2764830801602925772,-3590865837401183812,3980405883168341377,-5.331421579623798e+18
-9050450867630628092,-7448252416950961815,-3666646454167334466,2285392309373358857,-4718837078135183000,-1.1045017173797727e+18
-9045753673721269477,-2139739377293212491,2847365042071859088,5380540855517464621,4869691310149728361,-2.587745393898246e+18
-9041823059579281174,-7796858148829878756,1547036706250649420,-860914756454619650,-264519121623606417,5.442191984600038e+18
-9041546321432974047,-70211258489242437,7024819429467163565,-4485188959476061019,9217155070834564627,9.15163413356893e+18
-9040419159428373932,7511744555558105059,-5470166294767187597,-9152398073968262186,7359386552064322134,-2.8005638418403876e+18
-9039021554659316935,2719909253419802298,3618271604906293310,1233935898842140014,3170775058142440102,-1.1812425431955162e+18
-9033346036688923648,-2976309714446243509,6075137928366965854,-2377881752614744441,-9137036168156595470,5.02808118710933e+18
-9033211547111606164,-5253644367331262405,524776334673868069,5250363310227021277,5092635400707338872,6.987435400166906e+18
-9028990334396397584,2633033854118851671,8326017498198914888,-3348458175249982599,3998743085432844199,-2.1764686830777664e+18
-9020955625521881630,5669290109546991426,1737303669706106633,-3920984929373505016,2282385028752844581,-1.1812425431955162e+18
-9019582414165805420,-4657414671719964025,5293701842202310496,-1255189867397298842,-447851796385928420,3.1808286163274394e+18
-9019233957195913605,-7986975759046428357,-7766518409111702133,3801064060797809024,5380540855517464621,8.20066291979601e+18
-9007594455502730692,4804093434821394840,-8196748324041706598,8545647269051113523,-4994468824009200256,3.5781700665555855e+18
-9002191823887486987,-5331421579623797776,3980405883168341377,4869691310149728361,-5808672937983623398,2.847365042071859e+18
-8996656559398843485,-4748027149000767298,-8578355592291788601,8065912276310959188,5761988486867612282,-7.529178973676767e+18
-8992803137960175254,-4133169317019898816,5424502143558028097,-6308850935767965758,-587747935064273401,-4.79843199895521e+18
-8992201526199201450,-5055745575969002313,5761988486867612282,-7108012586837980940,-3920984929373505016,8.028897172674067e+18
-8984665034930053829,-44082375822273498,-9128652074338368262,5442191984600038712,1485652648052127324,-7.529178973676767e+18
-8980834789053459155,8295457724580096419,-5570256785328462468,-3718969219417182449,8433131156569129937,-8.980834789053459e+18
-8971085667828564532,3436241621287351574,-2208293144000550811,3564394485543941353,-518690781085251687,-5.600393064072065e+18
-8968101771604200516,-9040419159428373932,7511744555558105059,-5470166294767187597,-9152398073968262186,7.359386552064323e+18
-8964534883296838326,717471739656838182,-6858240061363309239,-6514535768080218883,2841545035570793472,8.340838192486392e+18
-8962700386317589038,-5989749314869037016,957332268361319692,-823697973575832204,-9153494109165200346,8.931755432090459e+18
-8954346068661072425,6240076106289531207,-8686523832043452855,-1852234953549915446,-3876501423599932851,7.000840123067725e+18
-8950763842769120954,-5446204508747882127,-7623502978685822577,-4655195825208522542,-3040610224044779845,-1.6347426679703636e+18
-8949113594875411859,-447851796385928420,3032648342029994387,-3169423801125605259,-7474372733748503487,6.980529106338479e+18
-8948234514303933700,-9194572880052200111,-2373876979584952849,-2462651558329037716,-9020955625521881630,2.8340722583506755e+18
-8947720860550700506,1003778007373126185,2531450382701518075,363303724138208407,8708452471825540133,-7.193893108516217e+18
-8942026248671582808,-645584250289067285,6607431762270322325,6412479507689487223,5281570276277574938,6.917508501173009e+18
-8939172344092554931,8078873160882064481,-6546787050052580484,-3513515650250501785,-555187669877280641,8.58762034263148e+18
-8937070974333045193,4307433444610636421,8402348887626635381,2215773447123360543,-2976309714446243509,-3.06538960798971e+17
-8935051432668167578,-5411404485622449820,-8935051432668167578,-5289386635926629588,-4882849408937990337,-6.056382045660082e+18
-8934199835393138432,7138108653908662095,-3687965339291665275,-7009536306337650657,-2548446404469756145,2.4361122529084426e+18
-8933526098329881084,9026402401132606773,1796618361228441836,2508620055362300376,2495913984359439198,-6.590819806697899e+18
-8913397556833789413,1099809408921653201,-5204755921272353160,3467834993860080188,-1557920564469956829,-9.041546321432974e+18
-8909927294729358771,6255978182562760059,2394847196776462305,6195056361889291497,-6369211973034956889,-8.796191278504624e+18
-8908991577172785311,1515492713000932747,6099026883115865746,-2797708685347481851,3582716808949240433,8.174678078757706e+17
-8900307211613973542,8844011188151156774,-4265002939801511319,9128267824356972069,7420742904084384944,-4.187268503708157e+18
-8900113512825364282,7124632953201847659,643905832258297060,5152069678055228801,-2871288807409592,3.4551601584612055e+18
-8885776096632729273,6059546463839992340,817467807875770568,7414965642940222121,-8123488152283046553,-2.7977086853474816e+18
-8879983698341300928,1431351528207086249,-7900768082301348135,-1804728901674946596,-1868297195590431285,4.4630255283743524e+18
-8876785823151614444,-1181242543195516037,5312357518363318341,-3450690190989108770,1737303669706106633,9.110374552591356e+17
-8864073373672512525,4312678980890750477,-1557920564469956829,8057379878708189245,7681335193431615119,-7.925445844362297e+18
-8863047175241170722,-4358357193736101128,-4608017393995766765,-1165347641456093580,-2400879112398974660,-7.04207805020693e+18
-8854146354650101086,-6742146164569753679,6716649347760033969,2572662123697831414,5304344058087060692,-9.064100704535293e+18
-8819557474068526071,3980405883168341377,-5331421579623797776,4869691310149728361,3801064060797809024,8.946250624470221e+18
-8815620240581422908,7419040071212162906,-7534240757267992657,5949788789046720741,865977730460714234,1.93322916750187e+18
-8813724423497152538,-2539915991213675511,-9099155556042679205,-2896441888220202695,163780025692404854,1.5367984722393644e+18
-8801071115335368509,-1606909838151129701,8631616594020837056,9060231864899459154,-3488100191290830083,4.757923412035174e+18
-8800029253812071912,-6380034335041404646,7938100642081250873,5827857898404399503,-6016433871633244814,7.251252752220328e+18
-8797444257711529901,657779080033041603,2271793263120018251,6652210819857467321,-1911407455198985777,1.5470367062506493e+18
-8796191278504623694,-6518848947517153700,8118799783881928573,-2516726696296387544,-3700095596785790870,1.7518225449122427e+18
-8781597910014596432,-6875247493073242590,6236312923258954569,-7655127094029937288,-9147114693160126293,-1.1045017173797727e+18
-8773118241761372618,1805789466376069146,-2176468683077766369,3343368383976781910,-8734181034726403477,9.722583751273674e+17
-8771338872124599367,-1892877682006771545,1954074927376897165,3017826600888052926,4625350031392752392,7.395435905985567e+18
-8763351865833452031,-5452374239565071760,-5578229678262992168,3548262914600772288,-321691855821364131,-1.7639864438237215e+18
-8762137947059829459,-4110991218639855802,-4270702541777554377,1662917027785920354,-3697359635590244386,-2.065362330475275e+18
-8757701761088346244,8259682769688682084,-3544655814153481738,1954991916791271993,-2059465483219605309,-7.152753999571084e+18
-8742648016180281673,-133139342397538859,5684817723169964056,1137471872769164371,4695698299220703541,3.218993154926038e+18
-8739701156093513292,30461094217357731,-8041742992841055506,-7876497512693688413,4668172927098913296,-5.82471538642478e+17
-8734181034726403477,-8773118241761372618,6409304780354173378,-3653998742295730637,-6133746337603876146,5.441215535748593e+18
-8728075196312712282,-273156842634169039,7933362470375280252,5191381587333696286,5322532051893153382,3.7423180263702113e+18
-8723568727518869245,-5434287697440336767,-2041630887686751489,-6312384811410586459,-8739701156093513292,-6.85936328929133e+18
-8723313435347324769,-1114438937697017987,-7508055250504867652,6591596441845797769,1137471872769164371,-1.449104782233587e+18
-8722526817358894474,1805849336099641652,1595230810451459837,-6115752106105570167,2668385070649954934,4.533807694984785e+18
-8717945432162716060,-5736221996280340620,-7525512143002603676,6892866957050839435,8289311442635691404,-6.058152698516591e+18
-8706427875719844202,-7384231993217222764,-8689461307495241608,2668307045795933565,2901480192726556992,-8.619131020497897e+17
-8704908797766843570,-7796858148829878756,-4485188959476061019,654383168348870348,-2136400115854451336,5.237574390644779e+18
-8700857105739861338,-3645539449929727083,9032993320407723266,3727587882617538492,-8900113512825364282,-2871288807409592.0
-8689798332822398451,-9184137057748005562,2379460324923679020,-1687864471892802710,-4948201003470936673,2.4361122529084426e+18
-8689461307495241608,2668307045795933565,-9107331682787867601,-5522643017727334716,-4186591400427142356,2.822049545552366e+18
-8686523832043452855,-8686523832043452855,6240076106289531207,7000840123067725009,-5579492244806284582,-1.484165300616479e+18
-8681175158863587641,7421641564256558176,-5570795524983603787,-907419983362132448,-8025433077701076525,-9.071883412530083e+18
-8680242653057858999,-6157984812065160219,-9222795471790223670,4345055131254210605,7421641564256558176,-9.071883412530083e+18
-8677396111092711799,3032648342029994387,-3258959365023720872,-3169423801125605259,1642787330067525131,-8.526359231369824e+18
-8669770849634489893,-271938775771328391,3032648342029994387,-8526359231369823784,-3169423801125605259,-8.677396111092711e+18
-8658069499367979499,-9157338616628196758,4056017896532335209,7127997889533450554,-8947720860550700506,-3.136683414587095e+18
-8657415528200615063,8042182000167325833,8589361101754366293,5217724704513784613,-1453783314552286835,-6.11575210610557e+18
-8651474460024926245,7247406924790318523,1729892529360390310,-5702535287667979261,4338940510328721138,2.6087400499791273e+18
-8641360668993633978,-3462051751080362224,-6651333707067617642,-2797708685347481851,817467807875770568,-6.851896696719147e+18
-8635809464649679621,5447580952505296338,-6641749235744758169,-5527182266336855540,-7812176982819372240,1.0057518368989644e+18
-8632408281960398473,-3469502952547705884,5395784585257808296,8881733945001664941,-8119612270825155371,8.174678078757706e+17
-8627051188605351707,569574447134368517,-273156842634169039,5191381587333696286,7933362470375280252,5.322532051893154e+18
-8618420761918493321,786135087362634258,7973573994178035769,-7685837606421530296,-2038869595290705317,2.3013384032024343e+18
-8615957592921855596,1590841424376000970,-4338308747999225618,-9055044275358686874,-3336755617029300430,2.3849317016439383e+18
-8615008595949058842,-2871347907044769386,5092635400707338872,5684817723169964056,-2440547657721869309,5.111115201913219e+18
-8606063418076691067,7202701636941380671,-4831310174172854034,-6590064508646491981,3262705634545542432,-8.954346068661073e+18
-8591127493017117985,-4608017393995766765,4702453495211185350,3086800924266336392,896159636285333275,3.382987666565638e+18
-8587352636561360574,5237574390644778994,-4485188959476061019,1954074927376897165,1662917027785920354,-7.796858148829878e+18
-8582642829303844420,-1243978819371381632,-1658488648009216718,-7891960098457323262,2285392309373358857,5.217724704513785e+18
-8578355592291788601,-8578355592291788601,8065912276310959188,3566197569262766169,-6634868367571835312,-1.0609905241051356e+18
-8535131855706279960,5322532051893153382,-7108012586837980940,4235212484048164433,-1565401790888834000,5.191381587333697e+18
-8529522981244750831,-1255189867397298842,-8651474460024926245,4891164246772479976,-8142426490949346803,1.7298925293603904e+18
-8526359231369823784,-8669770849634489893,-8677396111092711799,3032648342029994387,4106497696154898573,2.9900050469387694e+18
-8520302351158933500,1433951803438448289,8219310215587599928,-456574518348806233,8381798621267347902,-7.356135999773525e+18
-8518096793350810174,-2061825422128752184,6152652267138213180,-4295420427690447901,-8819557474068526071,7.653591914898297e+18
-8512859527034085078,-1762456938647577126,-7108012586837980940,8028897172674067530,5761988486867612282,-5.055745575969002e+18
-8512461968928613053,3702150017806959874,1772786465683785304,-5289386635926629588,-5411404485622449820,5.232169374213306e+18
-8511291357261863413,8527071648070448758,3510349622718287202,3980405883168341377,-8819557474068526071,-1.291869519847635e+18
-8510490754427841940,541470630329465127,-7485130558326482162,-6634868367571835312,-8099145207792678586,6.980529106338479e+18
-8508606815368130888,-1181242543195516037,1737303669706106633,4430356355587165611,8659918766210334195,-1.447641181396994e+18
-8508598439431879680,-5020541944663390025,-5525441367600219076,-6817732106250460899,2379460324923679020,-9.184137057748006e+18
-8502883448980287228,-8502883448980287228,6034099213718885791,6634206168889468590,885269153482673496,6.908884359295619e+18
-8497895589300643949,-3102652803014865472,-271938775771328391,2602221055863892168,-4625438649010928449,-8.526359231369824e+18
-8489944755890710748,5518462222339671372,-8202212195240926680,7510090557616166004,6850500272809381909,-2.1781001333499727e+18
-8480712303720557641,8559816910657872807,-6394075099886393346,-498521148402713730,-8353590933060505654,-6.192959589652486e+18
-8467102776052559275,374674704202038318,6186282670048283099,-7387185690512762935,2025471325746532174,5.263606973029607e+18
-8464215556093549753,4991224059205503283,3799372021687456380,8654585772743935612,-595851741330881198,4.247196691613375e+18
-8460222552900599049,-4570752586662989981,2323403245382926621,-1324705355456975418,-5009578843275173733,6.409304780354173e+18
-8449536481786923901,-3653998742295730637,-4186591400427142356,7155061818771055780,2668307045795933565,4.0127709275043866e+18
-8445686000003509032,-8445686000003509032,5274322067107287523,8084284001249507595,9222265156747237864,1.58600400040588e+18
-8427763028519233712,2541499697677936774,-5238066650780855302,4899554125167253337,-8980834789053459155,1.6378002569240486e+17
-8426084422061984285,4056017896532335209,6525794335263078309,-7454907763335725103,3465127447598546258,-1.7379372770550367e+18
-8418620743404378592,8870251820986769829,-8418620743404378592,7059601745558171892,-7152753999571084411,8.844011188151157e+18
-8412113620940365599,2719909253419802298,764116021156146784,4629488036162962359,-9100490342054218852,-5.161313513317812e+18
-8404657131309965885,-1249582672736761858,3470393457385461859,288653248451617914,-88303961787201909,-1.257839697539084e+18
-8392586470872505716,-4975645025178552956,2760335717049716507,2947843229055216994,-1480913447590268358,-6.628061815347904e+17
-8391512412740651574,-8099709040471107382,2293315701090958124,-1861959619649725543,3823268327704412514,6.607431762270323e+18
-8388400806941996172,2788367348502337122,-6859269826758227273,-8123434787655959885,2271592336048425450,-7.246992181701069e+17
-8381230866408697127,7507067965574797372,-816352740763488513,8871666435351703640,8314492264050843009,-1.8781282070488922e+18
-8377626164558006982,6778168087818060600,-7033990154815318757,363798057559041921,-7959318068735027467,4.443784953165082e+17
-8370744479086515302,-4338308747999225618,6152652267138213180,4139191914110236238,-8141818108252244664,2.121807307434668e+18
-8369610219380465981,-4770861947600256785,1549650080907932816,6519443272707698315,-4920252354047555768,5.250363310227021e+18
-8368414190009234878,2436112252908442663,-1687864471892802710,-2548446404469756145,2379460324923679020,-4.748027149000767e+18
-8353590933060505654,-4920252354047555768,-455124319026316634,4625350031392752392,1433951803438448289,9.128267824356973e+18
-8349788035147634450,6525794335263078309,-5405021817466310759,-4662020648308370136,-5570256785328462468,8.295457724580096e+18
-8343581376353287618,-8343581376353287618,1061238072586805321,1971653634364577968,-2766592729910903198,1.1147917146562829e+18
-8340365043226490059,-2123288010168989418,5304344058087060692,-862645085190435621,6615662748793536194,3.82586616626357e+18
-8314629309720421219,2998023988107018635,-3224698078244963479,-5014627593450767720,826748584447376099,3.1349081826574004e+16
-8312968399134741370,-1622037268576555626,-8141818108252244664,-9222795471790223670,-8025433077701076525,3.541770362851368e+18
-8311338126170554747,3980405883168341377,-5331421579623797776,3547081132182529111,-9002191823887486987,8.20066291979601e+18
-8287402887944984163,-1762456938647577126,-8512859527034085078,6607431762270322325,-7108012586837980940,-6.455842502890673e+17
-8286289711960957081,967143806332397325,-340541651592032197,-3285620956704836473,4333668738649701866,4.546206336477095e+18
-8282357075607822317,8210960017870928723,5135371516547401748,7454130161726657097,-1926525896637230556,9.15163413356893e+18
-8279505492976427918,5979676385148714519,-6380034335041404646,-8800029253812071912,7938100642081250873,-1.1376027008036015e+18
-8278633353687754322,-6752460077509522132,-7564053678326007415,541470630329465127,-7082978776831463151,2.5863790294878817e+18
-8278375716950339547,-4608017393995766765,3086800924266336392,896159636285333275,3382987666565638029,6.514150672874342e+18
-8277924497842156608,-2375266175756882986,-3105075547863520421,-569322218183730892,5658615529969625284,-6.171950598721418e+18
-8259953995965151136,-43795168179752761,-3544655814153481738,-1165347641456093580,5913609969272242724,2.668385070649955e+18
-8258529658421542282,-8971085667828564532,5442191984600038712,-998818216447049475,3035329611795434601,-9.861937093307588e+17
-8257579276626076787,-5578229678262992168,-43795168179752761,-5756697018315640725,4559158557590109105,-3.5446558141534817e+18
-8254222281357012124,-9045753673721269477,3801064060797809024,8946250624470221174,5380540855517464621,8.20066291979601e+18
-8248141950199177506,-2826566343807132236,6234756865145917449,-5431549861280885742,-7130425546996181071,-9.860277243035926e+17
-8245663037926520114,6793894801847439981,-5867424949902842953,1729892529360390310,-8935051432668167578,-9.1534941091652e+18
-8244000618837043328,6541551984368289722,8057379878708189245,-9103776596534246502,4546206336477094824,4.333668738649702e+18
-8243488279185272615,-3645539449929727083,-3513353119850106583,-6820241302436968068,-1676378465482420452,-7.613994611628694e+18
-8239286201029609369,-3073433549435888423,-927862226557602150,8743240285401859304,6426224004219108539,-5.329995784368272e+17
-8222568914848295086,-1480913447590268358,-3886927790136130174,8586403905004879205,-7264217791213422584,-3.951274083288935e+18
-8208801367848627943,-8518096793350810174,-3832772858396854546,2072448887839540892,2727743992157210358,3.1491640177766697e+18
-8204817396973648779,-5976464170927897250,7288937801410681383,-2083103312491589695,-4205346868684833897,8.869575677747286e+18
-8202212195240926680,-8202212195240926680,7510090557616166004,6850500272809381909,-2178100133349972724,-6.999747484065183e+18
-8196748324041706598,4804093434821394840,-9172673334835262304,-9153494109165200346,-823697973575832204,3.9658185991697265e+18
-8194774279664546436,1592600391233958243,8120046881003900118,2879555397105020076,1729892529360390310,8.295457724580096e+18
-8193923078932592165,-4458371007893120981,-2860224288374811338,5558603035498264655,-3059841990815099417,9.056727675613133e+18
-8190931845319543363,5964888566269323942,4911701623098526999,2541499697677936774,-1637159115260338032,-4.485188959476061e+18
-8189315446782327370,3980405883168341377,-8311338126170554747,-5331421579623797776,-7766518409111702133,8.946250624470221e+18
-8187220755213888616,6765368095966422513,-3095494965842381869,3880098804615440102,6615662748793536194,-5.786811453218932e+18
-8167536150098135304,-3134743773662773628,6607431762270322325,-3745582971859460684,-645584250289067285,5.281570276277575e+18
-8159730897893673528,8898031730873390440,-1383778823073811714,-3488100191290830083,7446166231252589534,8.872925201254667e+18
-8158171393641147845,-7447329442374055391,-5331421579623797776,-7766518409111702133,-1312850681127865433,8.946250624470221e+18
-8149429101569453081,-2797708685347481851,817467807875770568,6059546463839992340,-39485845307123560,-5.115041394506292e+18
-8146108036639482450,2314077149264083254,-156577302871365261,1851975995406778464,-1606980109000976010,6.37756686023493e+18
-8145607370067359341,-1762456938647577126,5761988486867612282,-7108012586837980940,8028897172674067530,-8.512859527034085e+18
-8142426490949346803,4891164246772479976,-908505899495735224,-1255189867397298842,-3537777320523757545,8.99323061563535e+18
-8141818108252244664,-2871288807409592,-1622037268576555626,643905832258297060,7124632953201847659,-5.060993828460133e+18
-8123488152283046553,-5115041394506292462,6059546463839992340,7414965642940222121,817467807875770568,-2.7977086853474816e+18
-8123434787655959885,1058405970043104639,-592655813177747831,6424668376409530281,-1060990524105135617,4.241385837165862e+18
-8119612270825155371,-1257839697539084047,-2430153190648595765,-7900768082301348135,1431351528207086249,-1.8682971955904312e+18
-8099709040471107382,3823268327704412514,-1861959619649725543,-6499865726739947794,2293315701090958124,-3.374034953651396e+16
-8099145207792678586,-6634868367571835312,-4748027149000767298,-8578355592291788601,8065912276310959188,-7.051470020148066e+18
-8085935119790093311,2623290164732957912,5237574390644778994,1058405970043104639,4241385837165861843,3.637980575590419e+17
-8068727428160395745,7375475877233036849,54211792749134075,1184320069221244535,-8353590933060505654,-5.231736210378596e+18
-8052188270551570124,348632682812866328,6638782839540370044,9004099881383415529,-78422372027822130,-5.154395767417065e+18
-8047634385511625486,-7638840925036528150,-5283011611531067471,-7130425546996181071,8243193415815549463,-6.863138929434706e+18
-8043889175123948305,4105873627900556540,8749720044741011597,-5488842573681626972,8483892789913825147,-6.192579321116251e+18
-8041742992841055506,7000840123067725009,-1852234953549915446,6240076106289531207,-8686523832043452855,-8.739701156093514e+18
-8031358134051918098,-2477364558321255827,-2375266175756882986,-3105075547863520421,6798386551136144335,-5.693222181837309e+17
-8030181764663752939,-8041742992841055506,7000840123067725009,-8686523832043452855,-1852234953549915446,6.240076106289531e+18
-8026099268928087567,-5833012379380837354,34557439830244258,-6359164149051198083,-8343581376353287618,7.12799788953345e+18
-8025433077701076525,3541770362851368020,-1676378465482420452,-3875881534863988868,-8681175158863587641,-7.48496077395192e+18
-8018192200278263695,-3324787160651928845,-615862350872519037,5901067357946111913,8119274153437896343,-5.039153034159657e+18
-8018088591294066196,2736373711035411385,4891164246772479976,2124033843135988844,1556878199027930272,-8.142426490949346e+18
-8009994379436553252,1433951803438448289,8219310215587599928,-456574518348806233,8381798621267347902,-7.356135999773525e+18
-8009527121402763559,201515581783532281,-5790539535722288419,3779639438468810958,9151634133568930081,-7.202774608580337e+18
-7992053163122498177,-5315378314308323942,-229081393244987789,-2697906762425596568,6045455576279706291,-7.474372733748504e+18
-7990179956144740367,3825866166263569974,4671890082953295903,-4414039190127558142,-8312968399134741370,-7.002558676365725e+18
-7986975759046428357,-3622715112759104312,5111115201913219115,-1492574794514500033,8339561640071198727,8.968837261991914e+18
-7977868424702448788,-4612605965384710183,1507299850679912107,4904775878165401439,6214107032842332406,-9.076501258717816e+18
-7959318068735027467,-7033990154815318757,6778168087818060600,-1060990524105135617,2623290164732957912,4.833869287568226e+18
-7953698795259311774,-3699283667575074041,8869575677747285539,-5000193502203199335,-1447641181396994093,-7.255737497176528e+18
-7926018713416777892,-7900768082301348135,2871648046424590878,3353902017498793780,-1804728901674946596,4.119190424078848e+18
-7925445844362296966,967143806332397325,-340541651592032197,-3285620956704836473,4333668738649701866,4.546206336477095e+18
-7908990633460844158,2824996248683640175,7216750853471801538,3256054536066714292,5787934590133549357,-6.940659689413148e+18
-7905002887579197656,-5581910915745827384,-7905002887579197656,-6245524727898921842,-1150591229250318592,6.234215549798993e+17
-7900768082301348135,1431351528207086249,-1868297195590431285,-7900768082301348135,4463025528374352465,-6.878119266243511e+18
-7895534832212398576,-2382583983070627054,-4749032095489327822,784265334245910688,-4037032837327175755,-1.173087925894084e+18
-7891960098457323262,-5331421579623797776,8742078838645536785,-9002191823887486987,-8311338126170554747,3.9804058831683415e+18
-7891293130731329672,-5446204508747882127,-1072987232233605661,1379546145237381445,5336562616168017846,3.1345111427832924e+18
-7879096649194981370,-6734931185433789466,1306706744219888810,-6115752106105570167,2250978527027854837,-5.315378314308324e+18
-7876497512693688413,-6308850935767965758,3547081132182529111,-587747935064273401,-5756697018315640725,-4.33635521939642e+18
-7875485745277808506,-1511619461666295654,-4948717594596229869,5473340184873040894,-240359174314633445,7.962608766252092e+18
-7862677531530632089,-229081393244987789,1805789466376069146,7823781477664935857,7540764978459875963,2.8194271957379753e+18
-7838000919054582150,6090517797383271316,-623310439329591027,-1447641181396994093,-6875247493073242590,-4.4082375822273496e+16
-7833921387228274142,8181531374206668183,-5314778455998444995,5947470908330062710,-4575943417765899041,3.884256359744616e+18
-7826213337362450520,-3265730906936163775,-5521549171704079872,-4248528062574538011,8160885002406274828,-1.5963352335299564e+18
-7820640624231356730,2608740049979127115,-9107331682787867601,2879555397105020076,7247406924790318523,8.1200468810039e+18
-7812176982819372240,-6479058008972757948,-2402157201203242566,-1165347641456093580,4372031182493802582,-5.204755921272353e+18
-7809508238092432842,-8311338126170554747,3980405883168341377,-5331421579623797776,-2139739377293212491,-5.808672937983623e+18
-7805090055463938263,-3206777048078326150,6984066580750577207,2608740049979127115,1729892529360390310,4.338940510328721e+18
-7796858148829878756,-8704908797766843570,-4485188959476061019,654383168348870348,5237574390644778994,-3.10507554786352e+18
-7780475830807410936,186710613029854965,5232169374213306041,-5289386635926629588,-8935051432668167578,-5.41140448562245e+18
-7777013191403056825,-6878119266243511199,5311977399951270341,8353614127518545485,-7666273193533605701,-4.379516817975276e+16
-7766518409111702133,-2587745393898245957,2847365042071859088,-2139739377293212491,-7766518409111702133,5.817939718364925e+18
-7762049078455894395,2394847196776462305,6195056361889291497,7071371416976898441,6908884359295619150,7.203367456821805e+18
-7732246497578572511,-9020955625521881630,1099809408921653201,-8582642829303844420,363798057559041921,-8.913397556833789e+18
